respondent_id,district,age,education_years,farm_size_acres,extension_visits_per_year,adoption_score,training_hours,loan_access,yield_kg_per_acre,income_monthly,q1,q2,q3,q4,q5
1,Nashik,35,5,4.66,6,1.84,17,1,2131,8348,1,1,1,1,2
2,Kurnool,62,11,1.95,2,1.1,14,0,1403,4801,1,1,1,1,2
3,Anand,50,14,2.18,7,1.7,21,0,1804,4646,2,1,1,2,2
4,Nashik,42,17,2.3,7,2.11,23,0,1911,4774,1,2,1,2,2
5,Kurnool,43,7,3.2,5,3.18,25,1,2004,7272,4,4,4,4,4
6,Anand,48,8,4.21,2,2.44,22,1,1695,8934,3,3,2,3,2
7,Nashik,36,13,3.37,6,1.55,11,1,2149,6890,2,2,1,1,1
8,Kurnool,28,15,4.55,5,1.99,16,1,2055,7818,2,2,2,2,3
9,Anand,60,6,5.33,4,3.33,21,1,2053,8720,4,4,3,3,3
10,Nashik,51,17,2.4,9,4.52,25,1,2440,6421,5,5,5,5,5
11,Kurnool,61,14,3.0,5,3.98,25,0,1958,5921,4,4,5,4,3
12,Anand,29,14,3.68,6,3.68,20,1,2141,7772,4,4,4,4,3
13,Nashik,58,8,4.88,5,1,14,0,1981,7680,1,2,1,2,1
14,Kurnool,34,8,1.8,5,1.79,16,1,1907,3959,1,2,3,2,2
15,Anand,43,7,2.91,2,3.85,17,1,1910,5746,5,5,4,5,5
16,Nashik,40,9,1.93,9,1.71,19,1,2116,6031,1,1,1,1,1
17,Kurnool,32,15,5.28,2,3.11,26,1,2054,9720,3,3,4,4,3
18,Anand,43,9,2.86,5,2.29,14,0,1713,5243,2,2,1,3,2
19,Nashik,50,6,5.37,4,4.0,17,1,2269,9081,4,4,5,4,5
20,Kurnool,36,9,1.4,8,2.76,20,0,1927,4735,1,2,2,3,2
21,Anand,45,5,0.82,6,2.36,9,0,1489,3337,2,1,2,2,3
22,Nashik,37,11,1.46,4,4.36,26,1,2380,5368,5,3,4,5,5
23,Kurnool,43,7,5.88,7,1,8,1,1906,9722,1,1,2,1,2
24,Anand,52,5,5.26,6,3.22,22,0,2126,7779,3,4,3,3,3
25,Nashik,60,11,4.33,6,1.53,15,1,1989,7115,1,1,1,1,2
26,Kurnool,60,6,2.8,3,2.99,14,1,1583,6675,5,4,3,4,4
27,Anand,49,14,2.43,7,2.58,15,1,1863,4644,2,3,2,2,3
28,Nashik,47,11,3.65,7,3.17,18,0,2012,5803,2,2,2,3,3
29,Kurnool,49,6,5.06,5,1.8,9,1,1918,7574,2,2,2,3,2
30,Anand,52,12,2.88,7,3.95,24,1,2267,7006,5,4,5,4,5
31,Nashik,35,12,1.49,4,2.94,20,1,1957,5462,3,4,2,4,4
32,Kurnool,58,12,2.15,5,4.18,24,1,2092,5810,3,4,4,4,4
33,Anand,37,8,2.79,7,3.14,19,0,2063,4683,2,3,4,3,2
34,Nashik,52,12,0.83,3,3.99,24,0,1959,4681,5,4,4,4,4
35,Kurnool,52,10,4.28,6,3.69,11,0,1841,6213,5,4,3,4,4
36,Anand,57,7,1.06,4,2.5,18,0,1735,3743,2,2,2,1,2
37,Nashik,50,8,4.18,6,4.01,11,1,2300,7885,4,4,4,4,5
38,Kurnool,44,17,2.72,1,3.26,15,1,1662,6669,4,4,4,5,5
39,Anand,32,14,4.39,6,3.6,19,1,2114,7773,5,3,5,5,4
40,Nashik,49,5,5.22,6,3.55,13,1,2012,7464,4,4,5,4,5
